year,julian_day,rad,max_temp,min_temp,rain,par
85,274,11.1,32.8,22.5,0,20.3
85,275,11.8,34.4,21.4,0,21.7
85,276,11.8,32.2,21.4,0,21.7
85,277,9.2,30.6,20.8,0,17.2
85,278,6.1,28.3,19.7,0,11.6
85,279,8.6,28.3,15.7,0,15.9
85,280,12.1,30.1,15.5,0,22
85,281,13.3,30.6,15.8,0,24.1
85,282,12.6,30.6,17,0,23.2
85,283,11.8,30.3,18.1,0,21.2
85,284,10.5,31,18.4,0,18.7
85,285,9.4,29.7,18.3,0,17.1
85,286,11.6,29.7,18,0,21.7
85,287,10.7,30.7,18.6,0,19.7
85,288,9.4,30.1,18.8,0,17
85,289,9,30.9,20.6,0,16.2
85,290,5.6,28.8,20,0,10.1
85,291,4.2,26.8,17,0,8.3
85,292,12.1,29.5,17.2,0,22.1
85,293,12.4,29.7,16.9,0,22.5
85,294,11,29,18.5,0,20.2
85,295,10.5,28.5,18.2,0,19.6
85,296,8.2,27.2,16.9,0,15.2
85,297,12.9,27.8,16.6,0,23.2
85,298,9.1,27.1,16.4,0,17.1
85,299,10.5,27.8,16,0,19.8
85,300,11.9,28.6,16.1,0,21.4
85,301,11.1,26.2,15.7,0,20.5
85,302,9.8,26.5,15.2,0,17.4
85,303,6.5,24.8,15.1,0,12.1
85,304,11.2,27.6,14.6,0,20.3
85,305,10.3,31.1,17.2,0,23.6
85,306,9.8,29.2,17.2,0,21.3
85,307,9.5,29.4,16.9,0,14.5
85,308,10.6,36.3,16,0,23.6
85,309,10.4,31.3,15.4,0,23.4
85,310,10.3,31.7,14.9,0,23.2
85,311,10.6,31.2,15.3,0,24
85,312,7.2,31.2,15.4,0,16.6
85,313,7.3,29.7,15.5,0,16.9
85,314,9.9,26.7,15,0,17
85,315,8.1,24.7,14.5,0,18.3
85,316,9.1,27,14.4,0,14
85,317,9.7,33,14.3,0,16.8
85,318,9.9,33.2,13.6,0,22.9
85,319,10.1,28.6,13.6,0,24
85,320,8.9,27.6,13.9,0,22
85,321,7.3,27.9,16.6,0,15.6
85,322,8.7,30.2,15.4,0,20.5
85,323,6.4,28.6,13.9,0,12
85,324,8.7,28.9,13.7,0,20.1
85,325,8.7,28.7,15.8,0,20.7
85,326,7.5,27.5,15.7,0,17.9
85,327,7.3,25.9,14.8,0,18.3
85,328,7,26.4,14.5,0,16.2
85,329,5.4,27.5,13.5,0,9.1
85,330,5.6,24.2,12.4,0,12.7
85,331,8.1,33.3,12.5,0,19.1
85,332,8.5,34.2,13,0,20.1
85,333,8.5,29,13.1,0,20
85,334,7.2,26.8,13.6,0,16.2
85,335,6.4,26.2,12.2,0,14.9
85,336,6.6,26.3,12.6,0,14.8
85,337,7.3,25.2,13,0,16.9
85,338,8.4,27.1,8.2,0,19.9
85,339,8.3,25.6,8,0,19.6
85,340,7.9,27.3,10.2,0,18.8
85,341,8.2,28,11.1,0,19.3
85,342,8.2,28.6,11.2,0,19.5
85,343,7.5,27.2,13.2,0,17.3
85,344,7.3,28.5,12.8,0,17.1
85,345,6.2,27.1,13.2,0,14.6
85,346,7,29.1,12.8,0,16.4
85,347,6.4,27.9,13.4,0,14.7
85,348,5.7,26.8,14.1,0,12.9
85,349,5.1,25.6,14.7,0,11.1
85,350,6,26.9,15.5,0,12
85,351,0.9,17.6,15.9,0,2.1
85,352,4.8,27,13.1,0,11.3
85,353,1.6,18.3,12.6,0,3.6
85,354,6.6,25,11,0,14.2
85,355,6.6,24.2,11.2,0,15.4
85,356,6.5,24.1,11.2,0,14.6
85,357,7.7,24.1,8.1,0,16.2
85,358,7.8,23.8,8,0,16.1
85,359,7.7,25.5,9.9,0,16.2
85,360,3,23,10.4,0,7
85,361,6.2,28.1,10.7,0,10.3
85,362,7.6,28.2,11.8,0,14.9
85,363,7.4,28.6,11,0,15.3
85,364,7.7,28.5,10.2,0,16.1
85,365,7.9,29.7,10.3,0,19.3
85,1,6.1,26.8,12.2,0,13.9
85,2,5.2,24.4,12.4,0,11.5
85,3,7,27.5,12.2,0,16.9
85,4,8.1,29.9,11,0,19.7
85,5,8.2,28.2,11.1,0,20
85,6,6.8,28.2,11.5,0,15.9
85,7,8.1,29.9,12.1,0,19.3
85,8,8.4,25.4,12.1,0,19.6
85,9,8.4,26.5,13.4,0,19.6
85,10,8,25.7,10.8,0,18.3
85,11,8.5,24.1,10.3,0,19.3
85,12,7.1,23.7,11.5,0,16.3
85,13,8.9,27,11.7,0,20.3
85,14,9,24.3,10.9,0,20.7
85,15,8.3,22.5,10.3,0,18.9
85,16,9.2,25,9.6,0,20.9
85,17,9.3,26.7,8.8,0,20.3
85,18,9.3,25.9,8.6,0,21.4
85,19,8.9,25.1,8.4,0,20.1
85,20,8.4,24.3,8.3,0,18.9
85,21,8,23.5,8.1,0,17.7
85,22,7.5,22.7,7.9,0,16.5
85,23,8.8,21.4,7.9,0,19.4
85,24,8.7,25.1,7.6,0,20.1
85,25,8.7,25.2,8.9,0,18.1
85,26,9.1,27.8,9,0,22.5
85,27,9.1,24.5,9.5,0,20.5
85,28,10.1,23.2,9.3,0,21.8
85,29,8.4,21.4,9.5,0,18.6
85,30,8.6,23.4,10.3,0,19.1
85,31,7.3,26.8,10.2,0,16
85,32,11,25.2,8.7,0,24.3
85,33,10.9,23.5,8.5,0,23.6
85,34,4,22.1,12.7,0,9
